Hotel Name,Original price,Price after discount,Tax,Rating,location,Facility,Room Type,Room Size,Review,Original price_norm,Price after discount_norm,Rating_norm,Cluster
alam kulkul boutique resort,14.394206583483706,13.796370551086687,Inclusive of taxes,8.4,"Legian, Bali","Beach, free Wi-Fi, swimming pool, free parking, spa, 24-hour reception, restaurant, massage","Alam Villa, Quad Room, Deluxe Family Room, Double Room Standard, Deluxe Double, Plunge Pool Villa, Two Bedroom Villa, Villa, Lanai Deluxe Double, Alam Java Villa",42 m² - 152 m²  ,A Beautiful Tropical Escape in Nature at Kulkul Boutique Resort!,0.48589284521481624,0.43586228318555864,0.6981132074154504,0
alam pangkung ubud,13.017005083966255,12.7022951610422,Inclusive of taxes,8.0,"Ubud, Bali","Free Wi-Fi, swimming pool, free parking, spa, 24-hour reception, massage, airport transfer, kitchen","Twin Bed Room, Deluxe Balcony, Deluxe Double Room, Double Bed, Deluxe Double Room with Balcony, Premier Twin Room with 2 Twin Beds, Deluxe Twin, Deluxe Twin Room, Deluxe Double or Twin Room",12 m² - 20 m²  ,Comfortable and Affordable Accommodation in Ubud,0.28542353949957255,0.2783697018236835,0.6226415093164828,1
alam puisi villa,14.737624700818701,13.821334565460477,Inclusive of taxes,8.7,"Tampaksiring, Bali","Free WiFi, swimming pool, free parking, spa, 24-hour reception, fitness center, restaurant, bar","Grand Paddy View Villa with Pool, One Bedroom Pool Villa, Luxury One Bedroom Villa With Private Pool, Villa, 1 Bedroom, Private Pool, Paddy Access Pool Villa, Paddy View Pool Villa, Grand Paddy View Pool Villa, Family Pool Villa, One Bedroom Paddy Access Pool Villa, One Bedroom Pool Villa",99 m² - 200 m²  ,Beautiful Villa and Great Staff,0.5358817477656083,0.439455862842554,0.7547169809896759,0
alam sembuwuk resort ubud,13.547632419997361,12.813664661036311,Inclusive of taxes,8.5,"Tampaksiring, Bali","Swimming pool, spa, free Wi-Fi","Standard Suite, Suite with Pool, Bedroom Villa, ",45 m² - 200 m²  ,Very good,0.36266314001188465,0.29440138501357843,0.7169811319401922,3
"alam ubud culture, environment villas & residences",15.096444681204078,14.04662307257814,Inclusive of taxes,8.6,"Tegallalang, Bali","Beach, free Wi-Fi, swimming pool with a view, free parking, spa, 24-hour reception, fitness center, restaurant","One Bedroom Pool Villa, Three-Bedroom Villa with Private Pool, One Bedroom Villa, One Bedroom Jungle View Villa, One Bedroom Jungle Private Pool Villa, One Bedroom Jungle Private Pool Villa Room Only, Luxury Villa, 1 Bedroom, One Bedroom Jungle View Villa Room Only, Luxury One Bedroom Villa, One Bedroom Luxury Pool Villa",134 m² - 250 m²  ,A hotel with the main strength is the staff who provide extraordinary service,0.5881125886191927,0.4718862317732372,0.735849056464934,0
aleesha villas,14.962178137674087,14.20077295875492,Inclusive of taxes,8.4,"Sanur, Bali","Beach, free WiFi, swimming pool, free parking, spa, 24-hour check-in, restaurant, massage","3 Bedroom Executive Suite, Executive Two-Bedroom Private Pool Villa, 2 Bedroom Executive, 2 Bedroom Superior, Executive Studio, Superior One-Bedroom Villa with Private Pool, Superior Two Bedrooms Villa with Pool, 1 Bedroom Superior, Deluxe Studio, Deluxe Suite",40 m² - 300 m²  ,Charming Tropical Villa,0.5685683746667145,0.49407616832745693,0.6981132074154504,0
alengkong double view,12.716900269294165,12.429220196836383,Inclusive of taxes,9.0,"Kintamani, Bali","Free WiFi, free parking, 24-hour reception, restaurant, airport transfer, family room, kitchen, balcony/terrace","Alengkong Double View, Lumbung, Rumah (home)",20 m² - 30 m²  ,Great stay,0.2417394425390365,0.23906045365905104,0.8113207545639017,4
alila seminyak,15.814485531321006,15.52680354918527,Inclusive of taxes,8.9,"Seminyak, Bali","Beachfront, infinity pool, spa, 24-hour front desk, free WiFi, restaurant","Deluxe Room, Suite, Ocean View Villa",46 m² - 120 m²,"A luxurious beachside experience, perfect for couples",0.6926326249018718,0.6849587917298493,0.7924528300391599,3
alindra villa,14.774861162440565,14.24722868660911,Inclusive of taxes,8.4,"Jimbaran, Bali","Free Wi-Fi, swimming pool with a view, free parking, spa, 24-hour reception, restaurant, bar, massage","Ethnic 2 Bedroom Villa, Grand Two Bedroom Suite Pool Terrace, One Bedroom Pool Villa Suite, Ethnic 1 Bedroom Villa, One Bedroom Pool Villa, Terracotta Suite, Grand Two Bedroom Pool Villa, Terracotta Prime Suite, Royal One Bedroom Pool Villa, Grand Two Bedroom Suite",40 m² - 105 m²  ,Beautiful gardens,0.5413019913619469,0.5007634885664249,0.6981132074154504,0
aloft bali seminyak- chse certified,14.54067371361718,14.252991641165398,Inclusive of taxes,8.8,"Seminyak, Bali","Rooftop pool, fitness center, bar & lounge, free WiFi","Loft Room, Deluxe Room, Executive Suite",30 m² - 70 m²,Modern hotel with stylish design and cool rooftop bar,0.5072130107085727,0.5015930681343411,0.773584905514418,3
amadea resort & villas seminyak bali,15.47797877530928,15.047196092657112,Inclusive of taxes,8.6,"Seminyak, Bali","Free Wi-Fi, swimming pool, free parking, spa, 24-hour reception, restaurant, bar, yoga room","2 Bedroom Pool Villa, 4 Bedroom Pool Villa, Deluxe Room, Rooftop Suite, Superior Room, Rooftop Two-Bedroom Apartment, 2 Bedroom Pool Villa, Junior Suite, 4 Bedroom Pool Villa, Apartment Suite",31 m² - 200 m²  ,"First place in Bali, affordable price and great location!",0.6436497594534997,0.6159191103181765,0.735849056464934,0
amala villas ubud,16.185199379137202,15.962055804445539,Inclusive of taxes,8.42253807106599,"Payangan, Bali","free WiFi, swimming pool, free parking, 24-hour check-in, bar, massage, airport transfer, family room","Villa with Private Pool, Signature Villa 5 Bedrooms Private Pool, 5-Bedroom Villa with Private Pool, Room Assigned on Arrival, Signature Villa",300 m² - 300 m²  ,Amazing villa. I could come back every year.,0.7465947703953081,0.7476135245282263,0.702365673653514,0
amalfi hotel seminyak,13.622372311136392,13.411651160013276,Inclusive of taxes,8.6,"Seminyak, Bali","Free Wi-Fi, swimming pool, free parking, 24-hour reception, luggage storage, rooftop area, breakfast, laundry service","Deluxe Balcony, Superior Room, Superior Twin, Deluxe Twin, Deluxe Room, Room Assigned on Arrival, Deluxe Twin Room with Balcony, Deluxe Double Room with Balcony, Deluxe Single Room, Standard Room",25 m² - 27 m²  ,Great place in the heart of Seminyak,0.37354248779877286,0.3804817759998002,0.735849056464934,1
amaris hotel pratama nusa dua,13.122365377402328,12.834683971615659,Inclusive of taxes,8.0,"Nusa Dua, Bali","Beach, free wifi, swimming pool, free parking, 24-hour front desk, restaurant, swimming pool (kids), luggage storage","Smart Room Twin, Smart Queen Room, Smart Room, Standard Room, Suite Club, Single Room, Economy Room",18 m² - 40 m²,Good value accommodation for the price,0.30076007876596494,0.2974271230127248,0.6226415093164828,2
amaris teuku umar denpasar,13.040775810383177,12.830057297355047,Inclusive of taxes,8.2,"West Denpasar, Bali","Free WiFi, swimming pool, 24-hour front desk, restaurant","Smart Room Queen, Smart Room Twin",18 m² - 24 m²,Economical choice with complete facilities,0.28888367298244855,0.29676111143888373,0.6603773583659663,4
amaroossa suite bali,13.62495640616384,13.178669984115126,Inclusive of taxes,7.9,"Nusa Dua, Bali","Free WiFi, swimming pool, fitness center, business facilities","Junior Suite, Executive Suite, Presidential Suite",30 m² - 90 m²,Boutique hotel with elegant design and affordable prices,0.3739186359050857,0.34694404438202503,0.6037735847917409,2
amatara arya ubud,14.32353345776624,13.90222389054308,Inclusive of taxes,9.1,"Ubud, Bali","Free Wi-Fi, swimming pool, free parking, spa, 24-hour reception, restaurant, bar, water sports","3 Bedroom Premium with Private Pool, 3 Bedroom Family Deluxe, Deluxe Room, Two-Bedroom Villa, Suite, Villa 3 Bedroom, Family Three Bedroom Villa with Private Pool, Two Bedroom Villa with Private Pool and Kitchen, 5-Bedroom Villa",50 m² - 250 m²  ,Nice villa,0.4756054671875118,0.4510999129032734,0.8301886790886436,0
amed lodge by sudamala resorts,13.86134492950806,13.422467969854667,Inclusive of taxes,8.6,"Amed, Bali","Beach, free Wi-Fi, swimming pool, restaurant, air conditioning in common areas, hand sanitizer, 24-hour security","Lipah Intimate Cottage, Karangasem Ocean View Cottage, Tirta Gangga Pool Access Cottage, Amed Romantic Beachfront Cottage, Jemeluk Premium Beachfront Cottage, Tulamben Ocean Breeze Cottage, Nyepi Retreat at Lipah Twin Room, Seraya Two Bedroom Ocean View Cottage, Amed Romantic Beachfront Cottage, Jemeluk Premium Beachfront Cottage",10 m² - 48 m²  ,A Lovely well done place,0.40832801112757267,0.38203886001752213,0.735849056464934,3
amed sari beach guesthouse,12.493763467943674,12.206082645480175,Inclusive of taxes,8.5,"Amed, Bali","Beach, Free WiFi, Spa, Restaurant, Happy Hour, Massage, Airport Transfer, Luggage Storage","Double Room with Balcony and Sea View, Deluxe Twin Room with Sea View, Single Bed in Mixed Dormitory Room, Superior Double Room, Double Bed Room, Room 1 Double Bed Fan, Double Room AC",20 m² - 24 m²  ,Comfortable stay,0.20925902506786295,0.20693971565357572,0.7169811319401922,1
amnaya resort kuta,14.870341616779989,14.093813281521658,Inclusive of taxes,9.0,"Kuta, Bali","Free wifi, swimming pool, free parking, spa, 24 hour front desk, gym, restaurant, bar","Deluxe Room, Grand Deluxe, Grande Suite, Grand Deluxe Poolside, Junior Suite, Amnaya Room, ",45 m² - 100 m²  ,"Clean rooms, friendly service",0.5552003935910375,0.4786792808529892,0.8113207545639017,3
amnaya resort nusa dua,16.04977130595773,15.273242632840525,Inclusive of taxes,9.1,"Tanjung Benoa, Bali","Spa, outdoor pool, rice field views","Deluxe Room, Suite, Pool Villa",45 m² - 150 m²,"Quiet setting, attentive staff",0.7268814809353745,0.6484585984058839,0.8301886790886436,3
ananda ubud resort,14.013952316645977,13.72627051753,Inclusive of taxes,8.8,"Kedewatan, Bali","Beach, free Wi-Fi, swimming pool with view, free parking, spa, 24-hour front desk, restaurant, bar.","Deluxe Room, Connecting Room Deluxe Garden View, Villa Rice Field View, Suite Rice Field View, Superior Room, Connecting Rooms, Bungalow, Honeymoon Deluxe, Suite Room, Room Assigned on Arrival",25 m² - 75 m²  ,Best stay around ubud!,0.4305419696204111,0.4257713558702594,0.773584905514418,3
ananta legian hotel,13.34558852538944,13.24022818749487,Inclusive of taxes,8.0,"Legian, Bali","Beach, Free WiFi, Swimming pool with a view, Free parking, Spa, 24-hour reception, Fitness center, Restaurant","Deluxe, Nature Scene, Junior Suites, Family Room, Deluxe Plus, Superior Deluxe, Twin Room Plus",22 m² - 44 m²  ,It's a fun life,0.33325306509529057,0.35580537189427336,0.6226415093164828,3
anantara bali uluwatu resort,16.189722955942738,15.966579381356583,Inclusive of taxes,8.8,"Pecatu, Bali","Private beach, free wifi, pool with view, free parking, spa, 24 hour front desk, fitness center, restaurant","Ocean View Villa, Ocean Front Suite, Penthouse",84 m² - 202 m²,Villa with Amazing Views,0.7472532348987763,0.7482646951981746,0.773584905514418,3
anantara seminyak resort & spa,15.876121664615845,15.588439677081464,Inclusive of taxes,8.3,"Seminyak, Bali","Beach, free Wi-Fi, swimming pool, free parking, spa, 24-hour reception, fitness center, restaurant","Three Bedroom Penthouse, 1 Bedroom Suite, 2 Bedroom Suite, Studio Plus, Penthouse, Penthouse, Three Bedroom Suite with Plunge Pool, Special Offer - One Bedroom Apartment Suite Room with Full Board and Free Exclusive Benefit, Penthouse, Two-Bedroom Apartment Suite",45 m² - 145 m²  ,"If you want a quiet trip to Bali, we recommend",0.7016045530132758,0.6938313365067933,0.6792452828907085,0
aneka lovina villas & spa,13.794032547997995,13.363250967987378,Inclusive of taxes,8.5,"Lovina, Bali","Private beach, free Wi-Fi, swimming pool with view, free parking, spa, 24-hour reception, fitness center, restaurant","Superior Room, Cottage, Free Dolphin Watching for 2 People at Cottage, Deluxe Double Cottage, Standard Room, Deluxe Cottage",24 m² - 36 m²  ,A stunning peaceful retreat,0.3985298324354274,0.37351454938092965,0.7169811319401922,3
angsoka hotel,12.364502727070859,12.07682349955715,Inclusive of taxes,8.5,"Lovina, Bali","Internet access, swimming pool, car parking, spa, 24-hour front desk, restaurant, massage, airport transfer","Simple Standard, Super Standard Room, Standard Double or Twin Room, Villa Apartment, Simple Standard Room, Superior, Deluxe Double Room, Simple Standard Room, Superior Single Room, Room Assigned on Arrival",15 m² - 32 m²  ,Great location,0.19044346976379825,0.1883328109180432,0.7169811319401922,1
aniniraka resort and spa,13.635485162971953,13.547632419997361,Inclusive of taxes,8.5,"Sayan, Bali","Free Wi-Fi, swimming pool, free parking, 24-hour reception, fitness center, massage, airport transfer, children's pool","Superior Room, Deluxe Room, Superior Double, Standard Twin Room, Superior Room for Single Use Local Promo, Deluxe Single Room",25 m² - 32 m²  ,Very friendly staff,0.3754512312210992,0.4000563316900283,0.7169811319401922,1
anja jimbaran,14.43122632678118,14.220505555587819,Inclusive of taxes,8.6,"Jimbaran, Bali","Beach, free WiFi, swimming pool, free parking, spa, 24-hour reception, fitness center, restaurant","Premium Suite, Triple Room, Family Room, Pool Access Suite, Suite, Deluxe Suite, Anja Suite, Deluxe Suite Special Offer, Lagoon Suite",36 m² - 66 m²  ,Very comfortable hotel for families,0.49128154268515845,0.49691668337830736,0.735849056464934,3
annapurna river view villas,14.891650558961983,14.603968372873895,Inclusive of taxes,8.42253807106599,"Mengwi, Bali","24-hour reception, Family room, English language, Indonesian language","Annapurna 1, Annapurna Family 1, Annapurna Family 2, Annapurna 2, Two-Bedroom Villa, Panoramic Villa, 2 Bedrooms, One-Bedroom Villa, Room Assigned on Arrival",20 m² - 40 m²  ,"Beautiful, quiet and beautiful villa",0.5583021828689663,0.5521163062747018,0.702365673653514,3
annora villas sanur,15.486753571645302,14.970234397888046,Inclusive of taxes,9.2,"Sanur, Bali","Beach, free Wi-Fi, swimming pool, free parking, spa, 24-hour reception, fitness center, restaurant","One Bedroom Pool Villa, Two Bedroom Pool Villa, Two Bedroom Villa with Private Pool, Two Bedroom Villa, Villa, 1 Bedroom, Private Pool, VILLA, 2 BEDROOMS, PRIVATE POOL, Villa with Private Pool, Villa, 2 Bedrooms, Private Pool, Two Bedrooms Villa with Pool",144 m² - 185 m²  ,Beautiful Villa,0.6449270433730214,0.6048404441810357,0.8490566036133854,0
antari hotel pemuteran,13.880049391601796,13.592367006650065,Inclusive of taxes,8.3,"Pemuteran, Bali","Beach, free Wi-Fi, swimming pool with a view, free parking, spa, 24-hour front desk, restaurant, massage","1 Bedroom Deluxe, Double Room, Double - 2 People, Classic Double, Superior Double Room, Classic Double or Twin, Deluxe Double or Twin",16 m² - 20 m²  ,"The price is very good, the pool is quite large, and there are many restaurants and cafes nearby. It seems to be family-run, and the service is friendly.",0.41105068499266945,0.40649589297821725,0.6792452828907085,1
apple suite,13.79387825783716,13.50619618538538,Inclusive of taxes,8.1,"Kerobokan, Bali","Free Wi-Fi, swimming pool, free parking, restaurant, airport transfer, living room, shared kitchen, balcony/terrace","Deluxe Apartment, Suite, Apartment with Pool View, Suite with Pool View, Two Bedroom Apartment, Studio Room, Two-Bedroom Apartment, Room Assigned on Arrival, Studio, Deluxe Two Bedrooms Apartment",35 m² - 95 m²  ,Cozy and comfortable,0.3985073735276844,0.3940915694713186,0.6415094338412245,3
aq-va hotel & villas,13.768253318265536,13.329375920771072,Inclusive of taxes,8.6,"Legian, Bali","Beach, free WiFi, swimming pool, free parking, spa, 24-hour reception, fitness center, restaurant","Three-Bedroom Villa with Private Pool and Fully Equipped Kitchenette, Four Bedroom Luxury Pool Villa - Jejas with Fully Equipped Kitchenette, 2 Bedroom Apartment, Two Bedroom Luxury Pool Villa with Fully Equipped Kitchenette, Standard Pool Villa 2 Bedroom, Deluxe with Pool Access, One Bedroom Apartment, Studio Suite, Three Bedroom Villa with Private Pool, Two Bedroom Villa with Private Pool",40 m² - 200 m²  ,Cleanliness and comfort,0.3947773355871807,0.3686382230524173,0.735849056464934,0
